številka izvajalca;šifra nadrejenega;šifra osnovni;šifra podrejeni;šifra lokacije;naziv organizacije (pravne osebe);dodatni naziv;naslov - ulica in hišna številka;naslov - pošta;šifra VZD;naziv VZD;šifra pravnega statusa izvajalca;opis pravnega statusa izvajalca;šifra tipa izvajalca;opis tipa izvajalca;šifra občine;ime občine;šifra ZZV;izberi 1 za izvajalec samo 1X;število vrstic (VZD-jev) pri posameznemu izvajalcu
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;101;Abdominalna kirurgija v bolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;1;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;102;Anesteziologija, reanimatologija in perioperativna intenzivna medicina v bolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;105;Gastroenterologija v bolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;106;Ginekologija in porodništvo v bolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;107;Hematologija v bolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;109;Interna medicina v bolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;111;Kardiologija in vaskularna medicina v bolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;116;Nefrologija v bolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;118;Nevrologija v bolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;120;Oftalmologija v bolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;122;Ortopedska kirurgija v bolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;123;Otorinolaringologija v bolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;127;Pediatrija v bolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;128;Plastična, rekonstrukcijska in estetska kirurgija v bolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;129;Pnevmologija v bolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;131;Radiologija v bolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;132;Revmatologija v bolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;134;Splošna kirurgija v bolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;137;Travmatologija v bolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;139;Urologija v bolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;141;Paliativna oskrba v bolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;144;Zdravstvena nega v bolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;148;Intenzivna medicina;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;149;Endokrinologija, diabetologija in tireologija v bolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;201;Abdominalna kirurgija v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;202;Anesteziologija, reanimatologija in perioperativna intenzivna medicina v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;205;Gastroenterologija v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;206;Ginekologija in porodništvo v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;207;Hematologija v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;209;Interna medicina v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
